data-hora,id,conteudo,candidato,tweet_limpo
2022-07-31 00:00:25+00:00,1553530989560856576,"Bolsonaro lidera em todos os cenários na corrida presidencial para 2022 https://t.co/9ZA8KE0C7h

#CapitaoNoPrimeiroTurno",bolsonaro,bolsonaro lidera em todos os cenários na corrida presidencial para 2022 
2022-07-31 00:00:25+00:00,1553530989233717248,"@jairbolsonaro Mesmo diante de uma crise mundial, e com um bando de vagabundos puxando o Brasil para baixo, centenas de obras finalizadas!",bolsonaro," mesmo diante de uma crise mundial, e com um bando de vagabundos puxando o brasil para baixo, centenas de obras finalizadas!"
2022-07-31 00:00:25+00:00,1553530989024092161,Será mesmo que Fortaleza está mostrando colaboração da BIG China? A internet já é? Porém a vossa excelência o Presidente Jair Bolsonaro está mostrando colaboração da BIG ordem nacional. Quem levará essa?,bolsonaro,será mesmo que fortaleza está mostrando colaboração da big china? a internet já é? porém a vossa excelência o presidente jair bolsonaro está mostrando colaboração da big ordem nacional. quem levará essa?
2022-07-31 00:00:24+00:00,1553530984313896963,"@mfriasoficial Certo... se o Bolsonaro receber elogios de 150 mulheres, podem ser até do governo, eu mudo o meu voto.",bolsonaro," certo... se o bolsonaro receber elogios de 150 mulheres, podem ser até do governo, eu mudo o meu voto."
2022-07-31 00:00:24+00:00,1553530983567265794,"“A melhor e mais recente resposta ao presidente Jair Bolsonaro e ao seu projeto golpista na hipótese de ele perder a reeleição tem uma só palavra: basta”

Leia a coluna de Antonio Carlos Prado:

https://t.co/1YSNSFwoWu",bolsonaro,“a melhor e mais recente resposta ao presidente jair bolsonaro e ao seu projeto golpista na hipótese de ele perder a reeleição tem uma só palavra: basta”leia a coluna de antonio carlos prado:
2022-07-31 00:00:24+00:00,1553530983428784129,@SamPancher @marcosmunizmelo O eleitor de Lula e de Bolsonaro não estão nem aí e não se sentem desrespeitados.,bolsonaro,  o eleitor de lula e de bolsonaro não estão nem aí e não se sentem desrespeitados.
2022-07-31 00:00:23+00:00,1553530980060864513,@maxbmc E o orçamento secreto?e cartão corporativo estourado com o que?E o dinheiro público usado pra passear de moto ou jetski?Porque Queiroz tava escondido na casa do advogado dos Bolsonaros?E os 89 mil na conta da primeira dama?e Bolsonaro confessando que tinha funcionária fantasma?,bolsonaro, e o orçamento secreto?e cartão corporativo estourado com o que?e o dinheiro público usado pra passear de moto ou jetski?porque queiroz tava escondido na casa do advogado dos bolsonaros?e os 89 mil na conta da primeira dama?e bolsonaro confessando que tinha funcionária fantasma?
2022-07-31 00:00:57+00:00,1553531121811574785,Luciano Bivar nega que desistirá de candidatura para apoiar Lula - https://t.co/DCWJ0XkSZi,lula,luciano bivar nega que desistirá de candidatura para apoiar lula - 
2022-07-31 00:00:56+00:00,1553531119303380994,"@Fernando3FF @DeputadoFederal @LulaOficial Um bando de analfabetos falando em bibliotecas...
Só rindo!! https://t.co/mIdrYOWvHl",lula,   um bando de analfabetos falando em bibliotecas...só rindo!! 
2022-07-31 00:00:56+00:00,1553531117449449481,"@LulaOficial O bem contra o mal, e o bem vencerá!!",lula," o bem contra o mal, e o bem vencerá!!"
2022-07-31 00:00:56+00:00,1553531116652564483,@o_antagonista Hahaha! Um dos maiores cabos eleitorais do Lula,lula, hahaha! um dos maiores cabos eleitorais do lula
2022-07-31 00:00:55+00:00,1553531115394170882,"@Noel_MORO2022 Justo!
Não soltaram o Lula? Deixa agora passar a boiada",lula, justo!não soltaram o lula? deixa agora passar a boiada
2022-07-31 00:00:54+00:00,1553531109140570112,@ptbrasil @LulaOficial https://t.co/umN8yNdsxi,lula,  
2022-07-31 00:00:54+00:00,1553531108578529283,"LULA 
NO CORAÇÃO 
DO POVO 
BRASILEIRO 
😂❤️🌺🇧🇷🤩😆 https://t.co/eJp9hwpsdg",lula,lula no coração do povo brasileiro 😂❤️🌺🇧🇷🤩😆 
2022-07-31 00:00:53+00:00,1553531104774209536,"@Ftimama32628691 @Nilsonhandebol Copie e cole. Quem  for votar no Lula, me segue que eu sigo de volta! Esquerda segue esquerda 
@Nilsonhandebol",lula,"  copie e cole. quem  for votar no lula, me segue que eu sigo de volta! esquerda segue esquerda "
2022-07-31 00:00:52+00:00,1553531101804724224,@LulaOficial @LulaOficial quando tu souber me explicar o conceito de fascismo vamos falar ok . Até então você ainda e um analfabeto.,lula,  quando tu souber me explicar o conceito de fascismo vamos falar ok . até então você ainda e um analfabeto.
2022-07-31 00:00:52+00:00,1553531101565669394,@LulaOficial @dilmabr pt NUNCA MAIS XÔ XÔ XÔ XÔ XÔ XÔ XÔ XÔ XÔ XÔ XÔ XÔ XÔ XÔ XÔ XÔ XÔ,lula,  pt nunca mais xô xô xô xô xô xô xô xô xô xô xô xô xô xô xô xô xô
2022-07-31 00:00:52+00:00,1553531101104295937,"Uns quatro ou cinco militontos me responderam hj q o Lula não enche as ruas, pq seus apoiadores têm medo de atentados. E qdo perguntei q quem gosta de dar facada ou jogar alguém contra para-choque de caminhão, é pessoa de esquerda, todos ficaram mudos.",lula,"uns quatro ou cinco militontos me responderam hj q o lula não enche as ruas, pq seus apoiadores têm medo de atentados. e qdo perguntei q quem gosta de dar facada ou jogar alguém contra para-choque de caminhão, é pessoa de esquerda, todos ficaram mudos."
2022-07-31 00:00:52+00:00,1553531099573374977,"@LulaOficial @dilmabr Ficaram por quase 16 anos no poder, enriqueceram, roubaram, fizeram o diabo. Quem se lasca é o povo, que sempre paga a conta. O homem mais honesto do mundo quer só mais uma oportunidade, pra terminar de foder essa porra toda.",lula,"  ficaram por quase 16 anos no poder, enriqueceram, roubaram, fizeram o diabo. quem se lasca é o povo, que sempre paga a conta. o homem mais honesto do mundo quer só mais uma oportunidade, pra terminar de foder essa porra toda."
2022-07-31 00:00:50+00:00,1553531093940314112,@LulaOficial @ricardostuckert Pergunta que não quer calar: https://t.co/jyyDId1mFk,lula,  pergunta que não quer calar: 
2022-07-31 00:00:50+00:00,1553531092971520003,@Anderso11565208 @Marcos3830 @JailmaFabiana @LulaOficial @ricardostuckert Os caras roubam até em foto 😂,lula,     os caras roubam até em foto 😂
